Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
-4.00000000,617201.53514114,-280291.20479331,30848.79129873,-1.56628030,0.03112037,-0.08258169
-3.99899975,617066.18801153,-280288.49049894,30841.65430072,-1.56597181,0.03169479,-0.08258530
-3.99799950,616930.86754851,-280285.72656691,30834.51699104,-1.56566317,0.03226910,-0.08258890
-3.99699925,616795.57376562,-280282.91300756,30827.37936959,-1.56535437,0.03284329,-0.08259251
-3.99599900,616660.30667643,-280280.04983123,30820.24143625,-1.56504541,0.03341735,-0.08259612
-3.99499875,616525.06629450,-280277.13704826,30813.10319093,-1.56473630,0.03399130,-0.08259973
-3.99399850,616389.85263337,-280274.17466898,30805.96463353,-1.56442703,0.03456513,-0.08260334
-3.99299825,616254.66570659,-280271.16270375,30798.82576394,-1.56411761,0.03513884,-0.08260696
-3.99199800,616119.50552769,-280268.10116292,30791.68658205,-1.56380802,0.03571243,-0.08261057
-3.99099775,615984.37211022,-280264.99005683,30784.54708777,-1.56349828,0.03628589,-0.08261418
-3.98999750,615849.26546771,-280261.82939585,30777.40728100,-1.56318839,0.03685924,-0.08261780
-3.98899725,615714.18561368,-280258.61919034,30770.26716162,-1.56287833,0.03743247,-0.08262142
-3.98799700,615579.13256166,-280255.35945065,30763.12672953,-1.56256812,0.03800558,-0.08262504
-3.98699675,615444.10632517,-280252.05018715,30755.98598464,-1.56225776,0.03857857,-0.08262866
-3.98599650,615309.10691772,-280248.69141021,30748.84492684,-1.56194724,0.03915144,-0.08263228
-3.98499625,615174.13435282,-280245.28313019,30741.70355603,-1.56163656,0.03972419,-0.08263590
-3.98399600,615039.18864399,-280241.82535748,30734.56187209,-1.56132572,0.04029682,-0.08263953
-3.98299575,614904.26980472,-280238.31810245,30727.41987494,-1.56101473,0.04086933,-0.08264315
-3.98199550,614769.37784850,-280234.76137548,30720.27756446,-1.56070359,0.04144171,-0.08264678
-3.98099525,614634.51278885,-280231.15518695,30713.13494056,-1.56039228,0.04201398,-0.08265040
-3.97999500,614499.67463924,-280227.49954725,30705.99200312,-1.56008083,0.04258613,-0.08265403
-3.97899475,614364.86341315,-280223.79446676,30698.84875205,-1.55976921,0.04315816,-0.08265766
-3.97799450,614230.07912408,-280220.03995588,30691.70518724,-1.55945744,0.04373007,-0.08266129
-3.97699425,614095.32178549,-280216.23602501,30684.56130859,-1.55914551,0.04430185,-0.08266493
