Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
0.00000000,-9027.68435883,-4990.96769890,0.00000000,8.15813121,-7.26213107,0.00000000
-0.00075013,-8486.99221603,-5446.67409736,0.00000000,8.51818496,-6.79481970,0.00000000
-0.00150025,-7924.76370250,-5871.11286986,0.00000000,8.82187583,-6.29929051,0.00000000
-0.00225038,-7344.77872681,-6262.85916597,0.00000000,9.06586669,-5.78805433,0.00000000
-0.00300050,-6750.92248475,-6621.29464533,0.00000000,9.25019799,-5.27329510,0.00000000
-0.00375063,-6146.98032732,-6946.55173427,0.00000000,9.37779946,-4.76585542,0.00000000
-0.00450075,-5536.47441608,-7239.40344214,0.00000000,9.45372304,-4.27458530,0.00000000
-0.00525088,-4922.55361500,-7501.12374760,0.00000000,9.48429872,-3.80608042,0.00000000
-0.00600100,-4307.93611185,-7733.34198014,0.00000000,9.47637239,-3.36474208,0.00000000
-0.00675113,-3694.89618273,-7937.90855870,0.00000000,9.43671458,-2.95304817,0.00000000
-0.00750125,-3085.28297321,-8116.78208673,0.00000000,9.37162324,-2.57192463,0.00000000
-0.00825138,-2480.55919937,-8271.94141607,0.00000000,9.28670059,-2.22113311,0.00000000
-0.00900150,-1881.84973185,-8405.32186887,0.00000000,9.18676400,-1.89962264,0.00000000
-0.00975163,-1289.99278153,-8518.77236653,0.00000000,9.07584801,-1.60582094,0.00000000
-0.01050175,-705.58901471,-8614.02929435,0.00000000,8.95726085,-1.33785981,0.00000000
-0.01125188,-129.04600333,-8692.70296812,0.00000000,8.83366812,-1.09374001,0.00000000
-0.01200200,439.38311429,-8756.27309624,0.00000000,8.70718540,-0.87144583,0.00000000
-0.01275213,999.56694766,-8806.09033161,0.00000000,8.57946866,-0.66902028,0.00000000
-0.01350225,1551.46879050,-8843.38170161,0.00000000,8.45179667,-0.48461109,0.00000000
-0.01425238,2095.12456287,-8869.25830573,0.00000000,8.32514290,-0.31649593,0.00000000
-0.01500250,2630.62505156,-8884.72415317,0.00000000,8.20023626,-0.16309334,0.00000000
-0.01575263,3158.10175020,-8890.68538032,0.00000000,8.07761160,-0.02296418,0.00000000
-0.01650275,3677.71566086,-8887.95935683,0.00000000,7.95765084,0.10519275,0.00000000
-0.01725288,4189.64850052,-8877.28338026,0.00000000,7.84061626,0.22254871,0.00000000
-0.01800300,4694.09584183,-8859.32279105,0.00000000,7.72667710,0.33015470,0.00000000
-0.01875313,5191.26179794,-8834.67842774,0.00000000,7.61593081,0.42895194,0.00000000
-0.01950325,5681.35493399,-8803.89340042,0.00000000,7.50841980,0.51978237,0.00000000
-0.02025338,6164.58514741,-8767.45919577,0.00000000,7.40414473,0.60339873,0.00000000
-0.02100350,6641.16131177,-8725.82114877,0.00000000,7.30307487,0.68047400,0.00000000
-0.02175363,7111.28951974,-8679.38332728,0.00000000,7.20515634,0.75161005,0.00000000
-0.02250375,7575.17179492,-8628.51288063,0.00000000,7.11031839,0.81734551,0.00000000
-0.02325388,8033.00516947,-8573.54390440,0.00000000,7.01847846,0.87816287,0.00000000
-0.02400400,8484.98104611,-8514.78087151,0.00000000,6.92954596,0.93449476,0.00000000
-0.02475413,8931.28478012,-8452.50167710,0.00000000,6.84342528,0.98672960,0.00000000
-0.02550425,9372.09543104,-8386.96034061,0.00000000,6.76001809,1.03521654,0.00000000
-0.02625438,9807.58564413,-8318.38940446,0.00000000,6.67922504,1.08026987,0.00000000
-0.02700450,10237.92163051,-8247.00206470,0.00000000,6.60094711,1.12217292,0.00000000
-0.02775463,10663.26322123,-8172.99406528,0.00000000,6.52508659,1.16118145,0.00000000
-0.02850475,11083.76397652,-8096.54538360,0.00000000,6.45154777,1.19752670,0.00000000
-0.02925488,11499.57133483,-8017.82173229,0.00000000,6.38023751,1.23141806,0.00000000
-0.03000500,11910.82679009,-7936.97589874,0.00000000,6.31106556,1.26304537,0.00000000
-0.03075513,12317.66608829,-7854.14894138,0.00000000,6.24394483,1.29258104,0.00000000
-0.03150525,12720.21943603,-7769.47125973,0.00000000,6.17879150,1.32018189,0.00000000
-0.03225538,13118.61171591,-7683.06355261,0.00000000,6.11552509,1.34599070,0.00000000
-0.03300550,13512.96270439,-7595.03767757,0.00000000,6.05406850,1.37013775,0.00000000
-0.03375563,13903.38728920,-7505.49742268,0.00000000,5.99434797,1.39274198,0.00000000
-0.03450575,14289.99568374,-7414.53920084,0.00000000,5.93629300,1.41391221,0.00000000
-0.03525588,14672.89363693,-7322.25267497,0.00000000,5.87983630,1.43374808,0.00000000
-0.03600600,15052.18263710,-7228.72132213,0.00000000,5.82491368,1.45234098,0.00000000
-0.03675613,15427.96010920,-7134.02294290,0.00000000,5.77146391,1.46977481,0.00000000
-0.03750625,15800.31960465,-7038.23012222,0.00000000,5.71942866,1.48612673,0.00000000
