Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
0.00000000,385960.42935951,-1266.47200739,888.75118585,-1.14572764,-1.12506371,-0.32368267
0.00133356,385823.41665775,-1389.20418364,846.86930162,-1.23047910,-1.00347924,-0.40267703
0.00266711,385677.37767408,-1497.30686872,796.12099862,-1.30226964,-0.87134567,-0.47745312
0.00400067,385523.85081444,-1589.64404383,737.03797870,-1.36034081,-0.73005934,-0.54722624
0.00533422,385364.45353770,-1665.24629246,670.23938168,-1.40408005,-0.58111324,-0.61126468
0.00666778,385200.86515405,-1723.32102340,596.42522158,-1.43302724,-0.42608098,-0.66889755
0.00800133,385034.80897151,-1763.26079044,516.36896554,-1.44687945,-0.26659985,-0.71952185
0.00933489,384868.03398628,-1784.64961928,430.90933678,-1.44549406,-0.10435321,-0.76260883
0.01066844,384702.29631834,-1787.26727906,340.94143311,-1.42889012,0.05894759,-0.79770954
0.01200200,384539.34059474,-1771.09145531,247.40725818,-1.39724786,0.22158148,-0.82445944
0.01333556,384380.88148313,-1736.29780910,151.28577003,-1.35090657,0.38183609,-0.84258213
0.01466911,384228.58557516,-1683.25792656,53.58255508,-1.29036070,0.53802589,-0.85189217
0.01600267,384084.05381368,-1612.53519044,-44.68075987,-1.21625428,0.68851009,-0.85229679
0.01733622,383948.80465120,-1524.87862441,-142.47724370,-1.12937385,0.83170992,-0.84379673
0.01866978,383824.25811672,-1421.21478552,-238.78543018,-1.03063978,0.96612518,-0.82648600
0.02000333,383711.72095769,-1302.63779865,-332.60000578,-0.92109628,1.09034990,-0.80055068
0.02133689,383612.37301003,-1170.39764783,-422.94230365,-0.80190011,1.20308695,-0.76626679
0.02267045,383527.25493537,-1025.88685541,-508.87049428,-0.67430818,1.30316138,-0.72399715
0.02400400,383457.25744844,-870.62569758,-589.48936743,-0.53966408,1.38953244,-0.67418744
0.02533756,383403.11214117,-706.24611726,-663.95960514,-0.39938386,1.46130418,-0.61736129
0.02667111,383365.38399178,-534.47450929,-731.50645220,-0.25494105,1.51773440,-0.55411476
0.02800467,383344.46562981,-357.11356107,-791.42769682,-0.10785117,1.55824208,-0.48510992
0.02933822,383340.57340791,-176.02334181,-843.10088290,0.04034412,1.58241300,-0.41106789
0.03067178,383353.74531446,6.89816230,-885.98968292,0.18809307,1.59000371,-0.33276128
0.03200533,383383.84073921,189.73486427,-919.64937064,0.33384996,1.58094369,-0.25100613
0.03333889,383430.54208913,370.57254042,-943.73134071,0.47609104,1.55533572,-0.16665346
0.03467245,383493.35822909,547.51873832,-957.98663403,0.61333027,1.51345454,-0.08058044
0.03600600,383571.62970851,718.72242705,-962.26843580,0.74413453,1.45574377,0.00631857
0.03733956,383664.53571367,882.39319202,-956.53352524,0.86713835,1.38281105,0.09314126
0.03867311,383771.10267281,1036.81978196,-940.84266456,0.98105787,1.29542165,0.17898653
0.04000667,383890.21442217,1180.38782362,-915.35992654,1.08470391,1.19449048,0.26296370
0.04134022,384020.62382935,1311.59652779,-880.35096861,1.17699419,1.08107254,0.34420163
0.04267378,384160.96575465,1429.07422134,-836.18027307,1.25696436,0.95635213,0.42185749
0.04400733,384309.77122023,1531.59255068,-783.30738088,1.32377787,0.82163061,0.49512546
0.04534089,384465.48264441,1618.07921610,-722.28215769,1.37673458,0.67831312,0.56324483
0.04667445,384626.46998942,1687.62910896,-653.73913842,1.41527800,0.52789418,0.62550784
